Timestamp,Which age group do you belong to?,What is your gender?,Which category do you currently belong to?,Which of the following best describes you?,Which of these factors are important to you when deciding which car to purchase?,How likely are you to opt for customised vehicle if there were no extra charges? ,"Which of the following exterior components would you choose to customise (texture, layout, size, etc)? ","Which of the following interior components would you choose to customise (texture, layout, size, etc)? ",How much are you willing to spend on car customisation if surcharges are applicable?,Are you interested in designing your own components to personalise your car? ,How much are you willing to pay for the personalised design? ,"Do you have any 3D design experience that would help with the design process? (e.g. AutoCAD, SolidWorks, Blender, etc)"
2021/10/08 9:54:55 PM GMT+8,20-30,Female,"Do not own a car, but planning to purchase in future",Single,Price;Functionality;Size,Likely,Wheels;Side mirrors,Steering wheel;Door handles;Dashboard,under 500,No,under 500,"No, I would need a designer to model my sketch"
2021/10/08 11:57:27 PM GMT+8,20-30,Female,"Do not own a car, but planning to purchase in future",Single,Price;Technological features;Sustainability/environment considerations,Very likely,Wheels,Steering wheel,under 500,Only with professional help,under 500,"No, I would need a designer to model my sketch"
2021/10/09 12:03:03 AM GMT+8,20-30,Male,"Do not own a car, but planning to purchase in future",Single,Price;Brand name;Aesthetics;Technological features;Functionality;Size;Sustainability/environment considerations,Very likely,Wheels;Grilles;Headlights;Side mirrors;Bumpers,Steering wheel;Centre compartment;Door handles,under 500,Only with professional help,500-1000,"Yes, I can design on my own"
2021/10/09 12:50:23 AM GMT+8,20-30,Male,"Do not own a car, but planning to purchase in future",Single,Price;Technological features;Functionality;Size;Sustainability/environment considerations,Very likely,Wheels;Side mirrors;Bumpers,Steering wheel;Centre compartment;Door handles;Dashboard,under 500,Yes,under 500,"No, I would need a designer to model my sketch"
2021/10/09 3:39:10 AM GMT+8,20-30,Male,"Do not own a car, but planning to purchase in future",Single,Price;Brand name;Aesthetics;Functionality,Very likely,Wheels;Grilles,Steering wheel;Centre compartment;Door handles;Dashboard,500-1000,Only with professional help,under 500,"No, I would need a designer to model my sketch"
2021/10/09 3:44:48 AM GMT+8,20-30,Female,"Do not own a car, but planning to purchase in future",Single,Price;Brand name;Technological features;Functionality;Customisable options,Very likely,Wheels;Grilles;Bumpers,Steering wheel;Centre compartment;Door handles;Dashboard,under 500,Only with professional help,under 500,"No, I would need a designer to model my sketch"
2021/10/09 8:04:17 AM GMT+8,20-30,Male,"Do not own a car, but planning to purchase in future",Single,Price;Brand name;Aesthetics;Functionality;Size;Customisable options,Very likely,Wheels;Grilles;Headlights;Bumpers,"Steering wheel;Centre compartment;Door handles;Dashboard;Arm rest, position of gear shifter if applicable",over 1000,Only with professional help,over 1000,"No, I would need a designer to model my sketch"
2021/10/09 1:49:43 PM GMT+8,20-30,Female,"Do not own a car, but planning to purchase in future",Single,Price;Brand name;Aesthetics;Technological features;Functionality;Size;Customisable options;Sustainability/environment considerations,Very likely,Side mirrors;Bumpers,Centre compartment;Dashboard,500-1000,Only with professional help,under 500,"No, I would need a designer to model my sketch"
2021/10/09 2:01:36 PM GMT+8,20-30,Female,"Do not own a car, but planning to purchase in future",Single,Price;Functionality;Customisable options;Sustainability/environment considerations,Likely,Wheels;Headlights;Side mirrors,Steering wheel;Centre compartment,500-1000,Only with professional help,under 500,"No, I would need a designer to model my sketch"
2021/10/10 1:12:50 PM GMT+8,20-30,Female,"Do not own a car, but planning to purchase in future",Single,Price;Functionality;Sustainability/environment considerations,Very likely,Grilles;Bumpers,Steering wheel;Centre compartment;Door handles,0,Only with professional help,0,"No, I would need a designer to model my sketch"
2021/10/11 8:59:09 AM GMT+8,20-30,Male,"Do not own a car, but planning to purchase in future",Single,Price;Aesthetics;Technological features;Functionality;Size,Very likely,Wheels;Grilles;Side mirrors;Bumpers,Steering wheel;Centre compartment;Door handles;Dashboard,500-1000,Yes,500-1000,"No, I would need a designer to model my sketch"
2021/10/11 3:27:35 PM GMT+8,20-30,Female,Own a car,Single,Price;Aesthetics;Technological features;Functionality;Customisable options;Sustainability/environment considerations,Very likely,Grilles,Steering wheel;Centre compartment;Door handles;Dashboard,under 500,Only with professional help,under 500,"No, I would need a designer to model my sketch"
2021/10/11 7:53:03 PM GMT+8,41-50,Male,Own a car,Single,Price,Very likely,Wheels,Steering wheel,under 500,Yes,under 500,"No, I would need a designer to model my sketch"
2021/10/11 7:53:23 PM GMT+8,20-30,Male,"Do not own a car, but planning to purchase in future",Single,Price;Brand name;Aesthetics;Size,Very likely,Wheels;Headlights;Side mirrors,Steering wheel;Centre compartment;Dashboard,under 500,Only with professional help,0,"No, I would need a designer to model my sketch"
2021/10/11 7:53:27 PM GMT+8,20-30,Female,"Do not own a car, but planning to purchase in future",Single,Price;Brand name;Aesthetics;Technological features;Size,Very likely,Side mirrors,Dashboard,under 500,Only with professional help,under 500,"No, I would need a designer to model my sketch"
2021/10/11 7:53:28 PM GMT+8,20-30,Female,"Do not own a car, but planning to purchase in future",Single,Brand name;Technological features;Functionality;Sustainability/environment considerations,Very likely,Wheels;Headlights;Side mirrors,Steering wheel;Door handles;Dashboard,over 1000,Yes,over 1000,"No, I would need a designer to model my sketch"
2021/10/11 7:53:41 PM GMT+8,20-30,Male,"Do not own a car, but planning to purchase in future",Single,Price;Brand name;Aesthetics;Technological features;Functionality,Very likely,Wheels,Centre compartment,over 1000,No,over 1000,"No, I would need a designer to model my sketch"
2021/10/11 7:53:56 PM GMT+8,20-30,Female,Own a car,Single,Price;Brand name;Aesthetics;Technological features;Functionality;Size,Very likely,Brakes,Dashboard,0,Only with professional help,0,"No, I would need a designer to model my sketch"
2021/10/11 7:54:02 PM GMT+8,20-30,Male,Own a car,Single,Price;Aesthetics;Technological features,Very likely,Wheels;Headlights;Bumpers,Steering wheel;Door handles,500-1000,Yes,under 500,"No, I would need a designer to model my sketch"
2021/10/11 7:54:16 PM GMT+8,20-30,Female,"Do not own a car, but planning to purchase in future",Single,Price;Aesthetics,Likely,Headlights,Steering wheel;Door handles,over 1000,Yes,over 1000,"Yes, I can design on my own"
2021/10/11 7:54:21 PM GMT+8,20-30,Male,"Do not own a car, but planning to purchase in future",Married with no children,Price;Brand name;Technological features;Functionality;Size;Sustainability/environment considerations,Likely,Wheels,Steering wheel;Centre compartment,over 1000,Only with professional help,500-1000,"No, I would need a designer to model my sketch"
2021/10/11 7:54:49 PM GMT+8,20-30,Female,"Do not own a car, but planning to purchase in future",Single,Price;Brand name;Aesthetics;Size,Very likely,Wheels;Side mirrors,Steering wheel;Dashboard,under 500,Yes,under 500,"No, I would need a designer to model my sketch"
2021/10/11 7:54:51 PM GMT+8,20-30,Male,"Do not own a car, but planning to purchase in future",Single,Price;Aesthetics;Technological features;Functionality,Very likely,Wheels;Grilles;Headlights,Steering wheel;Centre compartment,500-1000,Yes,500-1000,"Yes, I can design on my own"
2021/10/11 7:55:07 PM GMT+8,20-30,Male,"Do not own a car, but planning to purchase in future",Single,Price;Functionality;Sustainability/environment considerations,Very likely,Grilles;Bumpers;doors,Steering wheel;Dashboard,under 500,Only with professional help,under 500,"Yes, I can design on my own"
